in s,M1 in V
-5.85552E-02,-1.214020E+01
-5.85504E-02,-1.214127E+01
-5.85456E-02,-1.213806E+01
-5.85408E-02,-1.213379E+01
-5.85360E-02,-1.213806E+01
-5.85312E-02,-1.213165E+01
-5.85264E-02,-1.212631E+01
-5.85216E-02,-1.212738E+01
-5.85168E-02,-1.212418E+01
-5.85120E-02,-1.211563E+01
-5.85072E-02,-1.211243E+01
-5.85024E-02,-1.211349E+01
-5.84976E-02,-1.210709E+01
-5.84928E-02,-1.210068E+01
-5.84880E-02,-1.211136E+01
-5.84832E-02,-1.210922E+01
-5.84784E-02,-1.210922E+01
-5.84736E-02,-1.211456E+01
-5.84688E-02,-1.210922E+01
-5.84640E-02,-1.210815E+01
-5.84592E-02,-1.210602E+01
-5.84544E-02,-1.210815E+01
-5.84496E-02,-1.209106E+01
-5.84448E-02,-1.209320E+01
-5.84400E-02,-1.209534E+01
-5.84352E-02,-1.208679E+01
-5.84304E-02,-1.207718E+01
-5.84256E-02,-1.207291E+01
-5.84208E-02,-1.207077E+01
-5.84160E-02,-1.206970E+01
-5.84112E-02,-1.207504E+01
-5.84064E-02,-1.206116E+01
-5.84016E-02,-1.205582E+01
-5.83968E-02,-1.204086E+01
-5.83920E-02,-1.203552E+01
-5.83872E-02,-1.202057E+01
-5.83824E-02,-1.201523E+01
-5.83776E-02,-1.201202E+01
-5.83728E-02,-1.200882E+01
-5.83680E-02,-1.201416E+01
-5.83632E-02,-1.201202E+01
-5.83584E-02,-1.200348E+01
-5.83536E-02,-1.200241E+01
-5.83488E-02,-1.199173E+01
-5.83440E-02,-1.198746E+01
-5.83392E-02,-1.197678E+01
-5.83344E-02,-1.198105E+01
-5.83296E-02,-1.198212E+01
-5.83248E-02,-1.196930E+01
-5.83200E-02,-1.196930E+01
-5.83152E-02,-1.196075E+01
-5.83104E-02,-1.195328E+01
-5.83056E-02,-1.195755E+01
-5.83008E-02,-1.195435E+01
-5.82960E-02,-1.193832E+01
-5.82912E-02,-1.192978E+01
-5.82864E-02,-1.192871E+01
-5.82816E-02,-1.192123E+01
-5.82768E-02,-1.191376E+01
-5.82720E-02,-1.191483E+01
-5.82672E-02,-1.190735E+01
-5.82624E-02,-1.189667E+01
-5.82576E-02,-1.188705E+01
-5.82528E-02,-1.188492E+01
-5.82480E-02,-1.186569E+01
-5.82432E-02,-1.185181E+01
-5.82384E-02,-1.184326E+01
-5.82336E-02,-1.183578E+01
-5.82288E-02,-1.182831E+01
-5.82240E-02,-1.182938E+01
-5.82192E-02,-1.180908E+01
-5.82144E-02,-1.180054E+01
-5.82096E-02,-1.179199E+01
-5.82048E-02,-1.178452E+01
-5.82000E-02,-1.178345E+01
-5.81952E-02,-1.177383E+01
-5.81904E-02,-1.175995E+01
-5.81856E-02,-1.175461E+01
-5.81808E-02,-1.175140E+01
-5.81760E-02,-1.174393E+01
-5.81712E-02,-1.173004E+01
-5.81664E-02,-1.172363E+01
-5.81616E-02,-1.171402E+01
-5.81568E-02,-1.170227E+01
-5.81520E-02,-1.169373E+01
-5.81472E-02,-1.168304E+01
-5.81424E-02,-1.168091E+01
-5.81376E-02,-1.166275E+01
-5.81328E-02,-1.164673E+01
-5.81280E-02,-1.163284E+01
-5.81232E-02,-1.162109E+01
-5.81184E-02,-1.161148E+01
-5.81136E-02,-1.160614E+01
-5.81088E-02,-1.159653E+01
-5.81040E-02,-1.158157E+01
-5.80992E-02,-1.157944E+01
-5.80944E-02,-1.156128E+01
-5.80896E-02,-1.156128E+01
-5.80848E-02,-1.154846E+01
-5.80800E-02,-1.153671E+01
-5.80752E-02,-1.152069E+01
-5.80704E-02,-1.151855E+01
-5.80656E-02,-1.150681E+01
